,comments,likes,username,date,channel
0,Anthony is falling on hard times. Had to sell his green screen and is just writing album titles on cardboard. We’re here for you man!!!,1K,The Plagiarist,19 hours ago,https://www.youtube.com/channel/UC9EPdk-W2elUvBYKhuUKEVQ
1,Oh yes. This album rules. Anyone who likes rock music needs to give this a shot. Their debut is just as solid.,114,Shane Rand,19 hours ago,https://www.youtube.com/channel/UCYqCBiVchWvrB2ISAne2i2g
2,You’re not a loser for preaching the Gospel! Here at our youth group we’d love to talk about the Bible with you,373,smoov22,19 hours ago,https://www.youtube.com/channel/UCHwy5sPwXWAEfZr27_dyxyA
3,Played a house show with these guys back in like 2004 in my old grind band. I had never heard them before then and was impressed! Super nice guys too. I'll def give this one a listen.,37,Corn Dogg,19 hours ago,https://www.youtube.com/channel/UCreavP5UIp1Tn7WslpZYqLQ
4,As someone who only listens to rap this album hit a spot for me and im now a fan. Fucking love this album!,16,achronos178,19 hours ago (edited),https://www.youtube.com/channel/UC5wuju1eVfOw2mDVVdzkTJQ
5,Only Gospel could make a cover like this go so hard.,16,ILOVECODY,19 hours ago,https://www.youtube.com/channel/UCsZxZo_cRiBS1OfwgEOUQ5Q
6,"It looks like, they should have named this album: ""The Winner"" 😆",15,startervisions,19 hours ago,https://www.youtube.com/channel/UCOc3HV2L-cWbFSuwhCScyGw
7,The Moon is a Dead World is still a top 5 favorite album of mine. I’m ashamed to say I still haven’t listened to this new album yet.,35,Repetition Repetition Repetition Repetition,19 hours ago,https://www.youtube.com/channel/UCtVBor9QH_idrievs4aC-OQ
8,"Anthony you need to do a redux review for A Tribe Called Quest’s “We got it from here… thank you for your service.” You scored it perfectly, but it’s your most lackluster album in terms of your effort into a review",72,Trevor R,19 hours ago,https://www.youtube.com/channel/UC_-Q3AC2FZEhtJRobm0qzfg
9,"Gospel+Soul Glo+Foxtials.... Melon, my brother in christ, please check out the Rolo Tomassi album from earlier this year, it's so damn good and fits in well with all the great hardcore that's been coming out recently. Their 2018 record is stellar as well",36,Jared Garrison,19 hours ago,https://www.youtube.com/channel/UCqPbvAVOkTR1Ky4zgRRhVIA
10,The Moon Is A Dead World is one of the best albums of all time.,3,josh bennett sucks cock,17 hours ago,https://www.youtube.com/channel/UCk1itX8cshfIxCjTC63R24w
11,"so glad you reviewed this! ""Congratulations... You've Hit Bottom!"" is one of the best post-hardcore songs of the 2000s and this album is filled with songs of that caliber",10,PL ',19 hours ago,https://www.youtube.com/channel/UCgmj5JEeiK6hnajtQYMAB3A
12,"Going to listen to it tomorrow mornin', it always excites me when you rate something a high score of a genre I'm interested in. Thanks Anthony!",3,Osso,19 hours ago,https://www.youtube.com/channel/UCOR_8sObGJp3KZ9B4_c-A7A
13,"Gospel's debut album still holds a special place in my heart. This is some good news, I am really happy now.",5,ordinary Joe,18 hours ago,https://www.youtube.com/channel/UCB1vB9qyoMaUvEdsejTPLgw
14,Gospel just turned Fantano into a Christian with that album.,3,"jeremy, an odd fuckinʼ extrovert.",19 hours ago,https://www.youtube.com/channel/UCx0dYZIexOjC_pLoOr3hD5Q
15,Man the first gospel album was such a monumental classic,4,Mattia Tonel,18 hours ago,https://www.youtube.com/channel/UCwRHNTYlRXQAk1A-T_W1gog
16,"I was going to to suggest he listen to this record, but thought there would be no way he would review this. Glad he did, and just as excited he liked this much as much as he did.",1,John Burg,12 hours ago,https://www.youtube.com/channel/UCb0wMSclCU0N9ye0c3_2Uvg
17,Oh shit you actually reviewed it! One of the best Screamo albums in recent years. Truly lives up to the hype,9,T Pags,19 hours ago,https://www.youtube.com/channel/UCktWmBtcwzkn8TNcb3Iq52w
18,It's nice to see Anthony getting back to his roots by sharing the Good Word with the youth.,,Ziya C,14 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
19,"Since we're talking about left-field rock music, I think you should also give a try to and review ""White Jesus, Black Problems"", the new album by Fantastic Negrito.

It actually leans more towards blues rock, but it's definitely a well-executed concept album about social inequality and racism. It's based on the true story of the artist's grandfathers, too!",,Pier Francesco Costa,10 hours ago,https://www.youtube.com/channel/UCx2q0au2lwtCtCI86ldZ70g
20,Oh yes. This album rules. Anyone who likes rock music needs to give this a shot. Their debut is just as solid.,1,- SOFFY-🥂T[A]P Me!! to Have [𝐒]𝐄𝐗 With 𝐌𝐞,3 hours ago,https://www.youtube.com/channel/UCs-HRapFrpNg-BfWf0VLw5Q
21,The Moon is a Dead World is still a top 5 favorite album of mine. I’m ashamed to say I still haven’t listened to this new album yet.,,Ziya C,14 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
22,"Going to listen to it tomorrow mornin', it always excites me when you rate something a high score of a genre I'm interested in. Thanks Anthony!",,Ziya C,14 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
23,It's nice to see Anthony getting back to his roots by sharing the Good Word with the youth.,,AlmostHelpless,17 hours ago,https://www.youtube.com/channel/UCJkJlnIPZdLwOUdpZpkRMbw
24,As someone who only listens to rap this album hit a spot for me and im now a fan. SRO just slaps,,Ziya C,14 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
